currency,customer_code,market_code,norm_sales_amount,order_date,product_code,sales_amount,sales_qty
INR,Cus001,Mark001,100463,2018-05-16 00:00:00,Prod040,100463,160
INR,Cus001,Mark001,100463,2019-02-07 00:00:00,Prod044,100463,160
INR,Cus001,Mark001,101046,2018-09-28 00:00:00,Prod319,101046,163
INR,Cus001,Mark001,1014,2018-02-08 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1014,2018-05-16 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1014,2018-10-10 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1014,2019-08-13 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1014,2019-11-14 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1014,2020-05-18 00:00:00,Prod281,1014,10
INR,Cus001,Mark001,1023,2018-12-06 00:00:00,Prod302,1023,4
INR,Cus001,Mark001,1023,2019-05-13 00:00:00,Prod302,1023,4
INR,Cus001,Mark001,10231,2018-04-09 00:00:00,Prod101,10231,53
INR,Cus001,Mark001,10255,2019-06-11 00:00:00,Prod244,10255,160
INR,Cus001,Mark001,1028,2018-06-11 00:00:00,Prod246,1028,16
INR,Cus001,Mark001,103972,2018-04-09 00:00:00,Prod232,103972,1259
INR,Cus001,Mark001,10407,2019-12-10 00:00:00,Prod254,10407,93
INR,Cus001,Mark001,1042,2017-12-11 00:00:00,Prod265,1042,3
INR,Cus001,Mark001,104648,2018-01-12 00:00:00,Prod040,104648,167
INR,Cus001,Mark001,10486,2019-11-14 00:00:00,Prod288,10486,64
INR,Cus001,Mark001,10495,2017-10-20 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2017-11-06 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2018-06-11 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2018-09-12 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2018-10-10 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2018-11-15 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2018-12-18 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-01-30 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-02-15 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-04-18 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-05-13 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-08-13 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-11-14 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2019-12-18 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2020-01-20 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2020-04-09 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,10495,2020-05-18 00:00:00,Prod129,10495,48
INR,Cus001,Mark001,105532,2018-12-17 00:00:00,Prod339,105532,160
INR,Cus001,Mark001,105880,2020-02-17 00:00:00,Prod328,105880,93
INR,Cus001,Mark001,1069,2019-10-11 00:00:00,Prod283,1069,14
INR,Cus001,Mark001,1079,2017-12-11 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2018-06-11 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2018-11-08 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2018-12-06 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2019-03-01 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2019-11-14 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,1079,2020-06-12 00:00:00,Prod263,1079,8
INR,Cus001,Mark001,108606,2018-01-05 00:00:00,Prod308,108606,263
INR,Cus001,Mark001,11000,2020-01-21 00:00:00,Prod159,11000,27
INR,Cus001,Mark001,110819,2018-08-23 00:00:00,Prod316,110819,200
INR,Cus001,Mark001,110819,2018-12-06 00:00:00,Prod319,110819,200
INR,Cus001,Mark001,110819,2019-06-07 00:00:00,Prod319,110819,200
INR,Cus001,Mark001,11083,2018-08-23 00:00:00,Prod157,11083,20
INR,Cus001,Mark001,11083,2018-08-23 00:00:00,Prod310,11083,17
INR,Cus001,Mark001,11083,2018-11-08 00:00:00,Prod310,11083,17
INR,Cus001,Mark001,11111,2019-01-14 00:00:00,Prod271,11111,64
INR,Cus001,Mark001,1125,2019-11-14 00:00:00,Prod273,1125,10
INR,Cus001,Mark001,1134,2018-06-19 00:00:00,Prod090,1134,7
INR,Cus001,Mark001,11444,2019-01-30 00:00:00,Prod254,11444,103
INR,Cus001,Mark001,11505,2018-04-09 00:00:00,Prod126,11505,176
